org_siape,cod_org,org_abono,grupo_nucleo,grupo_abono,metodo,score,n_ativos,grupo_consistente
UNIVERSIDADE FEDERAL DE ALAGOAS,26231,UNIVERSIDADE FEDERAL DE ALAGOAS,UNIV,UNIV,exato,100.0,3188,True
INSTITUTO BRASILEIRO DO MEIO AMBIENTE E RECURSOS NATURAIS RENOVAVEIS,40701,,,,sem_casamento,0.0,3186,
FUNDACAO UNIVERSIDADE FEDERAL DO AMAZONAS,26270,FUNDACAO UNIVERSIDADE DO AMAZONAS,UNIV,UNIV,fuzzy,100.0,3142,True
INSTITUTO FEDERAL DO MARANHAO,26408,INSTITUTO FEDERAL DO MARANHAO,IF,IF,exato,100.0,3119,True
UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,26283,UNIVERSIDADE FEDERAL DE MATO GROSSO,UNIV,UNIV,fuzzy,100.0,3113,True
UNIVERSIDADE FEDERAL DE JUIZ DE FORA - MG,26237,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UNIV,UNIV,fuzzy,100.0,3079,True
UNIVERSIDADE FEDERAL DE VICOSA - MG,26282,UNIVERSIDADE FEDERAL DE VICOSA,UNIV,UNIV,fuzzy,100.0,3025,True
INSTITUTO FEDERAL DO ESPIRITO SANTO,26406,INSTITUTO FEDERAL DO ESPIRITO SANTO,IF,IF,exato,100.0,2948,True
FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,26281,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,UNIV,UNIV,exato,100.0,2945,True
"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",40108,MINISTERIO DAS COMUNICACOES,,,fuzzy,92.0,2899,True
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,26252,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UNIV,UNIV,fuzzy,100.0,2863,True
INSTITUTO NACIONAL DE COLONIZACAO E REFORMA AGRARIA,42201,,,,sem_casamento,0.0,2850,
UNIVERSIDADE FEDERAL DE MATO GROSSO,26276,UNIVERSIDADE FEDERAL DE MATO GROSSO,UNIV,UNIV,exato,100.0,2828,True
INSTITUTO FEDERAL DA BAHIA,26427,INSTITUTO FEDERAL DA BAHIA,,,exato,100.0,2820,True
COMANDO DO EXERCITO,16000,COMANDO DO EXERCITO,,,exato,100.0,2692,True
