uf,grupo_nucleo,n_ativos,ano
TO,INSS,53,2021
SC,IF,2633,2021
AP,IF,604,2021
AL,INSS,231,2021
GO,INSS,355,2021
RS,INSS,901,2021
RN,INSS,140,2021
DF,INSS,161,2021
RR,,451,2021
AL,IBGE,40,2021
SE,INSS,167,2021
PI,INSS,294,2021
AM,INSS,150,2021
RJ,INSS,949,2021
SE,,506,2021
PR,INSS,767,2021
MT,INSS,182,2021
PB,INSS,284,2021
BA,IBGE,143,2021
GO,IBGE,54,2021
RS,IBGE,101,2021
PR,IBGE,124,2021
SC,IBGE,70,2021
SE,IBGE,26,2021
MA,IBGE,65,2021
PB,IBGE,42,2021
RO,IBGE,21,2021
RN,IBGE,26,2021
RO,INSS,83,2021
AP,INSS,36,2021
TO,IBGE,15,2021
AM,IBGE,22,2021
MS,IBGE,34,2021
PI,IBGE,54,2021
PA,IBGE,62,2021
PE,IBGE,61,2021
CE,IBGE,68,2021
DF,IBGE,19,2021
AP,IBGE,3,2021
AC,IBGE,7,2021
RR,INSS,5,2021
BA,IF,11,2021
AC,INSS,6,2021
RR,IBGE,1,2021
CE,IF,3622,2022
PA,UNIV,7116,2022
PB,,3094,2022
,,126643,2022
AP,,751,2022
PI,IF,4209,2022
SE,UNIV,2874,2022
MG,UNIV,23117,2022
MS,UNIV,4620,2022
DF,,1102,2022
GO,UNIV,5183,2022
DF,UNIV,5348,2022
,IF,2351,2022
SP,UNIV,6611,2022
MT,IF,1907,2022
GO,IF,1987,2022
AL,UNIV,3282,2022
SC,UNIV,5671,2022
CE,UNIV,5368,2022
PE,IF,2312,2022
BA,UNIV,8554,2022
PB,UNIV,8837,2022
ES,IF,2910,2022
MG,,2792,2022
RN,,552,2022
BA,,5106,2022
SC,,2700,2022
RS,UNIV,10483,2022
RO,UNIV,1256,2022
MG,IF,7293,2022
PA,IF,2471,2022
MA,IF,3212,2022
